material_id,material_name,material_category,unit,standard_cost,supplier_id,lead_time_days,reorder_level,active_flag
MAT00001,Traction Motor Unit - Premium,Motors & Drives,EA,59.42,SUP0046,16,41,Y
MAT00002,Gearless Motor Assembly - Compact,Motors & Drives,EA,109.7,SUP0089,19,60,Y
MAT00003,Variable Frequency Drive - Standard,Motors & Drives,KG,1613.54,SUP0056,22,56,Y
MAT00004,Motor Brake Coil - Compact,Motors & Drives,KG,227.14,SUP0029,3,49,Y
MAT00005,Encoder Feedback Unit - Premium,Motors & Drives,M,259.88,SUP0091,45,45,Y
MAT00006,Traction Motor Unit - Premium,Motors & Drives,KG,330.81,SUP0056,20,20,Y
MAT00007,Gearless Motor Assembly - Premium,Motors & Drives,M,767.26,SUP0046,28,69,Y
MAT00008,Variable Frequency Drive - Standard,Motors & Drives,M,98.55,SUP0056,35,14,Y
MAT00009,Motor Brake Coil - High-Speed,Motors & Drives,ROLL,440.04,SUP0091,42,25,Y
MAT00010,Encoder Feedback Unit - Compact,Motors & Drives,EA,138.89,SUP0056,21,37,Y
MAT00011,Traction Motor Unit - Heavy-Duty,Motors & Drives,KG,51.9,SUP0033,21,23,Y
MAT00012,Gearless Motor Assembly - Compact,Motors & Drives,M,392.91,SUP0036,11,88,Y
MAT00013,Variable Frequency Drive - Compact,Motors & Drives,ROLL,111.8,SUP0011,17,70,Y
MAT00014,Motor Brake Coil - Heavy-Duty,Motors & Drives,EA,71.46,SUP0033,23,82,Y
MAT00015,Encoder Feedback Unit - High-Speed,Motors & Drives,ROLL,49.03,SUP0033,22,56,Y
MAT00016,Traction Motor Unit - High-Speed,Motors & Drives,KG,534.76,SUP0011,8,16,Y
MAT00017,Gearless Motor Assembly - Heavy-Duty,Motors & Drives,KG,412.38,SUP0033,23,56,Y
MAT00018,Variable Frequency Drive - Premium,Motors & Drives,M,346.0,SUP0056,14,55,Y
MAT00019,Motor Brake Coil - Compact,Motors & Drives,KG,328.02,SUP0089,13,96,Y
MAT00020,Encoder Feedback Unit - High-Speed,Motors & Drives,M,393.01,SUP0036,9,66,Y
MAT00021,Traction Motor Unit - Standard,Motors & Drives,SET,92.33,SUP0046,28,78,Y
MAT00022,Gearless Motor Assembly - Premium,Motors & Drives,SET,107.7,SUP0033,30,60,Y
MAT00023,Variable Frequency Drive - High-Speed,Motors & Drives,M,556.72,SUP0091,39,43,Y
MAT00024,Motor Brake Coil - Premium,Motors & Drives,ROLL,115.15,SUP0036,12,29,Y
MAT00025,Encoder Feedback Unit - Heavy-Duty,Motors & Drives,M,226.53,SUP0033,24,56,Y
MAT00026,Main Control PCB - Compact,Control Electronics,EA,559.58,SUP0099,21,86,Y
MAT00027,I/O Expansion Board - Standard,Control Electronics,EA,187.79,SUP0099,48,65,Y
MAT00028,Power Supply Module - Heavy-Duty,Control Electronics,KG,103.84,SUP0005,10,62,Y
MAT00029,Control Panel Touch Display - Premium,Control Electronics,M,195.69,SUP0083,28,61,Y
MAT00030,Relay Control Module - Compact,Control Electronics,SET,227.5,SUP0004,12,12,Y
MAT00031,Main Control PCB - High-Speed,Control Electronics,EA,156.57,SUP0005,29,55,Y
MAT00032,I/O Expansion Board - Standard,Control Electronics,ROLL,70.4,SUP0004,22,59,Y
MAT00033,Power Supply Module - Premium,Control Electronics,M,101.1,SUP0005,22,51,Y
MAT00034,Control Panel Touch Display - Standard,Control Electronics,ROLL,78.03,SUP0052,24,64,Y
MAT00035,Relay Control Module - Premium,Control Electronics,SET,722.74,SUP0099,31,15,Y
MAT00036,Main Control PCB - High-Speed,Control Electronics,M,95.79,SUP0052,26,62,Y
MAT00037,I/O Expansion Board - Premium,Control Electronics,EA,409.55,SUP0005,59,64,Y
MAT00038,Power Supply Module - Heavy-Duty,Control Electronics,SET,761.71,SUP0024,30,66,Y
MAT00039,Control Panel Touch Display - Heavy-Duty,Control Electronics,SET,178.53,SUP0007,28,30,Y
MAT00040,Relay Control Module - Heavy-Duty,Control Electronics,EA,193.09,SUP0052,16,52,Y
MAT00041,Main Control PCB - Premium,Control Electronics,KG,2476.64,SUP0024,3,67,N
MAT00042,I/O Expansion Board - Compact,Control Electronics,M,48.78,SUP0083,16,77,Y
MAT00043,Power Supply Module - Heavy-Duty,Control Electronics,M,260.94,SUP0009,10,32,Y
MAT00044,Control Panel Touch Display - Premium,Control Electronics,SET,482.8,SUP0007,13,55,Y
MAT00045,Relay Control Module - Heavy-Duty,Control Electronics,EA,256.1,SUP0004,14,103,Y
MAT00046,Main Control PCB - Compact,Control Electronics,ROLL,461.24,SUP0024,3,54,Y
MAT00047,I/O Expansion Board - High-Speed,Control Electronics,M,126.24,SUP0052,29,30,Y
MAT00048,Power Supply Module - Premium,Control Electronics,ROLL,218.17,SUP0083,26,71,Y
MAT00049,Control Panel Touch Display - Premium,Control Electronics,EA,73.68,SUP0052,17,38,Y
MAT00050,Relay Control Module - Premium,Control Electronics,M,127.32,SUP0004,38,60,Y
MAT00051,Traveling Cable - Premium,Cabling & Wiring,ROLL,69.35,SUP0008,30,103,Y
MAT00052,Flat Trailing Cable - Compact,Cabling & Wiring,ROLL,687.09,SUP0008,5,37,Y
MAT00053,Signal Wiring Harness - Heavy-Duty,Cabling & Wiring,KG,868.62,SUP0090,13,61,Y
MAT00054,Power Distribution Cable - Compact,Cabling & Wiring,SET,530.93,SUP0078,11,48,Y
MAT00055,Fiber Optic Communication Cable - High-Speed,Cabling & Wiring,EA,9.57,SUP0084,10,43,Y
MAT00056,Traveling Cable - Compact,Cabling & Wiring,M,70.26,SUP0020,37,14,Y
MAT00057,Flat Trailing Cable - Compact,Cabling & Wiring,KG,157.58,SUP0084,22,86,Y
MAT00058,Signal Wiring Harness - High-Speed,Cabling & Wiring,ROLL,58.21,SUP0008,32,50,Y
MAT00059,Power Distribution Cable - Compact,Cabling & Wiring,M,91.7,SUP0064,25,54,Y
MAT00060,Fiber Optic Communication Cable - High-Speed,Cabling & Wiring,ROLL,134.26,SUP0008,21,40,Y
MAT00061,Traveling Cable - Premium,Cabling & Wiring,KG,274.11,SUP0078,27,89,Y
MAT00062,Flat Trailing Cable - Premium,Cabling & Wiring,M,70.96,SUP0084,42,5,Y
MAT00063,Signal Wiring Harness - Standard,Cabling & Wiring,SET,210.23,SUP0060,26,57,Y
MAT00064,Power Distribution Cable - Compact,Cabling & Wiring,KG,131.28,SUP0084,18,37,Y
MAT00065,Fiber Optic Communication Cable - Premium,Cabling & Wiring,SET,135.73,SUP0025,29,58,Y
MAT00066,Traveling Cable - Standard,Cabling & Wiring,ROLL,122.38,SUP0078,29,57,Y
MAT00067,Flat Trailing Cable - Standard,Cabling & Wiring,KG,551.62,SUP0020,27,29,Y
MAT00068,Signal Wiring Harness - Heavy-Duty,Cabling & Wiring,KG,139.74,SUP0060,28,65,Y
