elevator_id,elevator_model,installation_date,customer_id,location_id,building_type,capacity_kg,status
ELV00001,HE-2800 Freight,2017-10-11,100000002,PVG,Commercial Office,630,Active
ELV00002,HE-3500 High-Speed,2014-08-22,100000015,PHL,Industrial,2000,Active
ELV00003,HE-1200 Compact,2021-08-10,100000002,USA,Residential,450,Under Maintenance
ELV00004,HE-1200 Compact,2019-12-30,100000016,BLR,Commercial Office,630,Active
ELV00005,HE-1800 Standard,2023-11-26,100000035,YVR,Shopping Mall,630,Active
ELV00006,HE-1800 Standard,2025-06-29,100000004,SYD,Residential,800,Active
ELV00007,HE-2800 Freight,2020-08-21,100000019,FRA,Shopping Mall,1600,Active
ELV00008,HE-4200 Express,2023-07-22,100000038,SYD,Hospital,2500,Active
ELV00009,HE-3000 Hospital-Grade,2019-02-20,100000015,SFO,Residential,800,Active
ELV00010,HE-4200 Express,2025-02-22,100000000,CAN,Hotel,1600,Active
ELV00011,HE-2200 MRL,2018-01-26,100000011,IND,Transit Hub,800,Active
ELV00012,HE-1200 Compact,2025-11-02,100000014,UAE,Residential,800,Active
ELV00013,HE-3500 High-Speed,2025-02-03,100000004,ENG,Mixed-Use,800,Active
ELV00014,HE-2200 MRL,2025-07-19,100000014,ENG,Hotel,1275,Active
ELV00015,HE-3000 Hospital-Grade,2025-02-06,100000016,CAN,Hospital,2500,Active
ELV00016,HE-1800 Standard,2024-11-21,100000009,ENG,Industrial,5000,Active
ELV00017,HE-4200 Express,2022-06-23,100000037,PHL,Residential,800,Active
ELV00018,HE-5000 Panoramic,2013-11-30,100000038,MEX,Shopping Mall,1000,Active
ELV00019,HE-2200 MRL,2020-07-18,100000037,PHL,Hotel,1275,Decommissioned
ELV00020,HE-2200 MRL,2020-06-22,100000037,PHL,Commercial Office,1275,Active
ELV00021,HE-1800 Standard,2025-05-17,100000002,CHN,Residential,630,Active
ELV00022,HE-4200 Express,2014-12-31,100000002,CAN,Hospital,2500,Active
ELV00023,HE-3500 High-Speed,2024-01-14,100000004,MEC,Transit Hub,630,Decommissioned
ELV00024,HE-2800 Freight,2024-06-04,100000004,CAN,Hotel,1275,Active
ELV00025,HE-2800 Freight,2012-06-08,100000009,BLR,Residential,450,Active
ELV00026,HE-2000 Gearless,2024-05-27,100000016,AUS,Commercial Office,1600,Active
ELV00027,HE-2800 Freight,2026-02-19,100000023,MEX,Residential,800,Active
ELV00028,HE-3500 High-Speed,2015-10-11,100000038,GER,Shopping Mall,1275,Under Maintenance
ELV00029,HE-3500 High-Speed,2025-09-17,100000023,MEX,Residential,800,Active
ELV00030,HE-1200 Compact,2023-09-27,100000032,FRA,Hotel,1275,Active
ELV00031,HE-1200 Compact,2025-11-16,100000000,MEX,Residential,450,Active
ELV00032,HE-2200 MRL,2021-12-02,100000017,FRA,Commercial Office,1000,Active
ELV00033,HE-5000 Panoramic,2025-10-07,100000015,PHL,Commercial Office,1275,Active
ELV00034,HE-3000 Hospital-Grade,2026-01-22,100000038,SFO,Commercial Office,1600,Active
ELV00035,HE-3500 High-Speed,2015-08-20,100000003,ENG,Commercial Office,1000,Active
ELV00036,HE-3500 High-Speed,2021-05-07,100000017,FRA,Industrial,3000,Active
ELV00037,HE-4200 Express,2020-07-23,100000004,UAE,Residential,450,Active
ELV00038,HE-3500 High-Speed,2013-08-25,100000004,SYD,Mixed-Use,800,Active
ELV00039,HE-2800 Freight,2025-01-20,100000002,SYD,Commercial Office,1275,Active
ELV00040,HE-1200 Compact,2025-09-14,100000034,YVR,Commercial Office,630,Active
ELV00041,HE-4200 Express,2023-01-28,100000035,BLR,Hospital,1600,Active
ELV00042,HE-1800 Standard,2020-05-29,100000009,AUS,Commercial Office,800,Under Maintenance
ELV00043,HE-5000 Panoramic,2014-11-18,100000000,FRA,Commercial Office,1000,Active
ELV00044,HE-3000 Hospital-Grade,2019-12-01,100000014,BLR,Residential,450,Active
ELV00045,HE-1800 Standard,2022-01-19,100000014,MEC,Residential,800,Active
ELV00046,HE-4200 Express,2014-12-02,100000015,YVR,Hotel,1000,Active
ELV00047,HE-2200 MRL,2012-05-24,100000008,GER,Shopping Mall,1000,Active
ELV00048,HE-1800 Standard,2025-05-14,100000002,MEC,Commercial Office,1600,Active
ELV00049,HE-2800 Freight,2015-11-21,100000011,CAN,Industrial,5000,Active
ELV00050,HE-1200 Compact,2015-02-01,100000011,PVG,Hospital,2000,Active
ELV00051,HE-4200 Express,2024-09-17,100000023,USA,Residential,630,Active
ELV00052,HE-2200 MRL,2025-09-30,100000032,PHL,Industrial,2000,Active
ELV00053,HE-3000 Hospital-Grade,2023-01-21,100000023,SFO,Hotel,1275,Active
ELV00054,HE-1800 Standard,2026-01-15,100000000,USA,Residential,450,Decommissioned
ELV00055,HE-2000 Gearless,2025-12-25,100000038,DXB,Residential,800,Active
ELV00056,HE-2200 MRL,2018-05-14,100000035,IND,Hospital,2000,Under Maintenance
ELV00057,HE-5000 Panoramic,2019-11-01,100000011,BLR,Residential,630,Active
ELV00058,HE-3000 Hospital-Grade,2018-05-23,100000004,BLR,Shopping Mall,1275,Active
ELV00059,HE-3500 High-Speed,2024-03-02,100000037,MEC,Residential,630,Active
ELV00060,HE-5000 Panoramic,2013-01-17,100000019,MEX,Residential,450,Active
ELV00061,HE-3000 Hospital-Grade,2024-12-09,100000008,ENG,Residential,450,Active
ELV00062,HE-1800 Standard,2024-07-14,100000017,UAE,Mixed-Use,1600,Active
ELV00063,HE-1200 Compact,2012-04-13,100000008,CHN,Shopping Mall,1600,Active
ELV00064,HE-3000 Hospital-Grade,2024-12-01,100000008,IND,Shopping Mall,1600,Active
ELV00065,HE-3000 Hospital-Grade,2019-04-19,100000009,SYD,Hospital,1600,Active
ELV00066,HE-1800 Standard,2014-09-17,100000015,DXB,Commercial Office,1000,Active
ELV00067,HE-2800 Freight,2020-06-15,100000009,PHL,Industrial,5000,Active
ELV00068,HE-2000 Gearless,2025-04-20,100000016,PHL,Hospital,1600,Decommissioned
ELV00069,HE-5000 Panoramic,2022-01-13,100000038,PHL,Residential,450,Active
ELV00070,HE-1800 Standard,2013-11-16,100000004,MEC,Hospital,2000,Active
ELV00071,HE-1200 Compact,2023-11-06,100000032,DXB,Hotel,1275,Active
ELV00072,HE-3000 Hospital-Grade,2016-05-01,100000035,PHL,Commercial Office,1600,Active
ELV00073,HE-2200 MRL,2015-08-17,100000014,UAE,Shopping Mall,1275,Active
ELV00074,HE-2200 MRL,2015-05-13,100000034,GER,Residential,800,Active
ELV00075,HE-2800 Freight,2025-02-22,100000019,BLR,Industrial,2000,Active
ELV00076,HE-2000 Gearless,2013-05-30,100000001,MEC,Industrial,2000,Active
ELV00077,HE-2200 MRL,2013-05-22,100000037,CAN,Residential,450,Active
ELV00078,HE-2800 Freight,2018-02-21,100000019,SFO,Residential,800,Active
ELV00079,HE-2000 Gearless,2015-06-24,100000011,YVR,Commercial Office,1000,Active
ELV00080,HE-3500 High-Speed,2013-07-06,100000001,YVR,Hotel,800,Active
ELV00081,HE-4200 Express,2024-08-15,100000009,PHL,Mixed-Use,1275,Active
ELV00082,HE-5000 Panoramic,2019-05-30,100000037,USA,Shopping Mall,800,Active
ELV00083,HE-3500 High-Speed,2024-07-22,100000037,MEC,Mixed-Use,630,Active
ELV00084,HE-2000 Gearless,2016-01-31,100000009,PVG,Residential,800,Active
ELV00085,HE-3500 High-Speed,2013-03-22,100000001,YVR,Mixed-Use,800,Active
ELV00086,HE-5000 Panoramic,2025-01-08,100000034,USA,Industrial,2000,Active
ELV00087,HE-3500 High-Speed,2021-03-14,100000016,SFO,Mixed-Use,630,Active
ELV00088,HE-2800 Freight,2015-08-18,100000015,IND,Hospital,2000,Decommissioned
ELV00089,HE-4200 Express,2023-08-13,100000003,IND,Residential,630,Active
ELV00090,HE-3000 Hospital-Grade,2020-06-23,100000015,YVR,Residential,630,Active
ELV00091,HE-1800 Standard,2021-05-04,100000003,SYD,Residential,630,Active
ELV00092,HE-3000 Hospital-Grade,2012-07-27,100000023,CAN,Industrial,3000,Active
ELV00093,HE-2200 MRL,2016-08-19,100000009,CHN,Hospital,2500,Active
ELV00094,HE-2000 Gearless,2025-08-30,100000009,LHR,Residential,450,Active
ELV00095,HE-3500 High-Speed,2022-11-16,100000031,BLR,Residential,800,Under Maintenance
ELV00096,HE-3000 Hospital-Grade,2016-05-09,100000035,PVG,Residential,630,Active
ELV00097,HE-1800 Standard,2013-02-03,100000034,LHR,Mixed-Use,1275,Active
ELV00098,HE-3500 High-Speed,2016-10-13,100000008,IND,Commercial Office,630,Under Maintenance
ELV00099,HE-1200 Compact,2016-12-27,100000016,SFO,Mixed-Use,1275,Active
ELV00100,HE-2200 MRL,2017-12-24,100000038,DXB,Shopping Mall,630,Active
ELV00101,HE-1800 Standard,2018-03-19,100000014,SFO,Residential,800,Active
ELV00102,HE-5000 Panoramic,2016-10-24,100000015,DXB,Hotel,1275,Decommissioned
ELV00103,HE-3000 Hospital-Grade,2025-08-12,100000037,DXB,Hotel,630,Decommissioned
ELV00104,HE-5000 Panoramic,2023-01-14,100000008,MEX,Commercial Office,1275,Active
ELV00105,HE-3500 High-Speed,2018-04-29,100000023,IND,Industrial,5000,Decommissioned
ELV00106,HE-3500 High-Speed,2026-02-07,100000017,AUS,Commercial Office,1275,Active
ELV00107,HE-5000 Panoramic,2018-08-14,100000023,PVG,Residential,450,Active
ELV00108,HE-5000 Panoramic,2014-05-29,100000038,CHN,Residential,450,Active
ELV00109,HE-1800 Standard,2026-01-29,100000031,BLR,Transit Hub,1000,Under Maintenance
ELV00110,HE-3000 Hospital-Grade,2021-03-10,100000038,MEC,Residential,450,Active
ELV00111,HE-2200 MRL,2018-12-29,100000038,UAE,Residential,450,Active
ELV00112,HE-2200 MRL,2021-08-25,100000000,IND,Shopping Mall,800,Active
ELV00113,HE-3500 High-Speed,2012-05-08,100000034,YVR,Shopping Mall,1000,Active
ELV00114,HE-1200 Compact,2015-10-08,100000009,PVG,Hotel,630,Active
ELV00115,HE-3500 High-Speed,2024-09-15,100000011,SFO,Mixed-Use,800,Active
ELV00116,HE-4200 Express,2019-07-25,100000017,SFO,Residential,630,Active
ELV00117,HE-1200 Compact,2025-12-23,100000008,LHR,Mixed-Use,630,Active
ELV00118,HE-3000 Hospital-Grade,2022-08-15,100000038,PHL,Commercial Office,1600,Active
ELV00119,HE-5000 Panoramic,2023-04-29,100000038,SYD,Shopping Mall,630,Active
ELV00120,HE-3500 High-Speed,2017-03-13,100000035,ENG,Hotel,1275,Under Maintenance
ELV00121,HE-2800 Freight,2025-02-04,100000035,YVR,Residential,630,Active
ELV00122,HE-1200 Compact,2023-10-05,100000032,GER,Mixed-Use,1275,Active
ELV00123,HE-1200 Compact,2017-06-06,100000031,DXB,Hospital,2500,Under Maintenance
ELV00124,HE-2800 Freight,2013-12-11,100000016,PVG,Mixed-Use,1000,Under Maintenance
ELV00125,HE-3000 Hospital-Grade,2025-04-13,100000003,CAN,Shopping Mall,1275,Active
ELV00126,HE-2200 MRL,2019-10-29,100000031,USA,Hospital,2500,Active
ELV00127,HE-1200 Compact,2018-06-03,100000023,MEX,Residential,630,Active
ELV00128,HE-2000 Gearless,2016-08-18,100000011,YVR,Hotel,1000,Active
ELV00129,HE-2800 Freight,2022-11-17,100000032,YVR,Industrial,2000,Active
ELV00130,HE-2000 Gearless,2012-06-05,100000000,CHN,Residential,630,Active
ELV00131,HE-2200 MRL,2015-12-13,100000014,YVR,Shopping Mall,1000,Active
ELV00132,HE-1200 Compact,2022-09-07,100000032,ENG,Mixed-Use,1275,Active
ELV00133,HE-2200 MRL,2014-06-19,100000001,SFO,Transit Hub,1600,Active
ELV00134,HE-4200 Express,2019-06-14,100000002,CHN,Shopping Mall,800,Active
ELV00135,HE-3000 Hospital-Grade,2025-03-21,100000011,MEC,Residential,630,Active
ELV00136,HE-5000 Panoramic,2019-05-01,100000015,AUS,Residential,800,Active
ELV00137,HE-5000 Panoramic,2022-08-18,100000015,CAN,Residential,450,Active
ELV00138,HE-4200 Express,2012-10-01,100000003,YVR,Transit Hub,1275,Active
ELV00139,HE-2000 Gearless,2021-01-25,100000001,CHN,Residential,800,Active
